start	end	text
0	29000	I am a visionary.
29000	40000	Illuminating galaxies to witness the birth of stars.
40000	49000	Sharpening our understanding of extreme weather events.
49000	52000	I am a helper.
52000	60000	Guiding the blind through a crowded world.
60000	63000	I was thinking about running to the store.
63000	67000	And giving voice to those who cannot speak.
67000	71000	To not make me laugh.
71000	75000	I am a transformer.
75000	86000	Harnessing gravity to store renewable power.
86000	94000	And paving the way towards unlimited clean energy for us all.
94000	98000	I am a trainer.
98000	104000	Teaching robots to assist.
104000	111000	To watch out for danger.
111000	117000	And help save lives.
117000	121000	I am a healer.
121000	125000	Providing a new generation of cures.
125000	128000	And new levels of patient care.
128000	130000	Doctor, that I am allergic to penicillin.
130000	132000	Is it still okay to take the medications?
132000	133000	Definitely.
133000	135000	These antibiotics don't contain penicillin.
135000	139000	So it's perfectly safe for you to take them.
139000	145000	I am a navigator.
145000	150000	Generating virtual scenarios.
150000	156000	To let us safely explore the real world.
156000	163000	And understand every decision.
163000	168000	I even helped write the script.
168000	171000	Breathe life into the words.
171000	174000	En muchos idiomas.
174000	184000	Y escribí la música.
184000	187000	I am AI.
187000	190000	Brought to life by NVIDIA.
190000	192000	Deep learning.
192000	194000	And brilliant minds.
194000	205000	Everywhere.
205000	225000	Please welcome to the stage NVIDIA founder and CEO Jensen Wong.
225000	232000	Welcome to GTC.
232000	238000	I hope you realize this is not a concert.
238000	244000	You have arrived at a developer's conference.
244000	247000	There will be a lot of science described.
247000	248000	Algorithms.
248000	250000	Computer architecture.
250000	260000	Mathematics.
260000	265000	I sensed a very heavy weight in the room all of a sudden.
265000	268000	Almost like you were in the wrong place.
268000	278000	No conference in the world is there a greater assembly of researchers from such diverse fields of science.
278000	289000	From climate tech to radio sciences trying to figure out how to use AI to robotically control MIMOs for next generation 6G radios.
289000	293000	Robotic self-driving cars.
293000	297000	Even artificial intelligence.
297000	302000	Even artificial intelligence.
302000	307000	First I noticed a sense of relief there all of a sudden.
307000	313000	Also this conference is represented by some amazing companies.
313000	318000	This list, this is not the attendees.
318000	321000	These are the presenters.
321000	324000	And what's amazing is this.
324000	332000	If you take away all of my friends, close friends, Michael Dell is sitting right there.
332000	339000	In the IT industry.
339000	342000	All of the friends I grew up with in the industry.
342000	347000	If you take away that list, this is what's amazing.
347000	357000	These are the presenters of the non-IT industries using accelerated computing to solve problems that normal computers can't.
358000	373000	It's represented in life sciences, healthcare, genomics, transportation of course, retail, logistics, manufacturing, industrial.
373000	377000	The gamut of industries represented is truly amazing.
377000	381000	And you're not here to attend, only you're here to present.
381000	383000	To talk about your research.
383000	389000	$100 trillion of the world's industries is represented in this room today.
389000	397000	This is absolutely amazing.
397000	400000	There is absolutely something happening.
400000	403000	There is something going on.
403000	407000	The industry is being transformed, not just ours.
407000	415000	Because the computer industry, the computer is the single most important instrument of society today.
415000	420000	Fundamental transformations in computing affects every industry.
420000	421000	But how did we start?
421000	423000	How did we get here?
423000	424000	I made a little cartoon for you.
424000	427000	Literally I drew this.
427000	431000	In one page, this is Nvidia's journey.
431000	433000	Started in 1993.
433000	437000	This might be the rest of the talk.
437000	438000	1993.
438000	439000	This is our journey.
439000	440000	We were founded in 1993.
440000	443000	There are several important events that happened along the way.
443000	445000	I'll just highlight a few.
445000	451000	In 2006, CUDA, which has turned out to have been a revolutionary computing model.
451000	453000	We thought it was revolutionary then.
453000	455000	It was going to be an overnight success.
455000	461000	And almost 20 years later it happened.
461000	465000	We saw it coming.
465000	469000	Two decades later.
469000	479000	In 2012, AlexNet, AI and CUDA made first contact.
479000	486000	In 2016, recognizing the importance of this computing model, we invented a brand new type of computer.
486000	489000	We called it DGX1.
489000	493000	170 teraflops in this supercomputer.
493000	496000	8 GPUs connected together for the very first time.
496000	513000	I hand delivered the very first DGX1 to a startup located in San Francisco called OpenAI.
513000	516000	DGX1 was the world's first AI supercomputer.
516000	520000	Remember, 170 teraflops.
520000	524000	2017, the transformer arrived.
524000	529000	2022, chat GPT captured the world's imaginations.
529000	534000	Have people realize the importance and the capabilities of artificial intelligence.
534000	540000	In 2023, generative AI emerged.
540000	543000	And a new industry begins.
543000	545000	Why?
545000	547000	Why is a new industry?
547000	549000	Because the software never existed before.
549000	552000	We are now producing software.
552000	554000	Using computers to write software.
